Record,Weight,Date,Wrestler1,Team1,Wrestler2,Team2,Result,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
2497,174,3/3/2018,VonEgidy,West Virginia,Pope,Wyoming,1.1,420,1,0,0,0,1,1,1,1,4,3,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,6,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2498,174,3/3/2018,Pope,Wyoming,VonEgidy,West Virginia,0.9,420,1,0,0,0,2,0,6,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,4,3,0,0,0,2,0,0,0,0,0,0,2,0,0
2499,174,3/3/2018,Bastian,Utah Valley,Urbach,North Dakota State,1.1,420,2,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2500,174,3/3/2018,Urbach,North Dakota State,Bastian,Utah Valley,0.9,420,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0
2501,174,3/3/2018,VonEgidy,West Virginia,Smith,Oklahoma State,0.5,119,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2502,174,3/3/2018,Smith,Oklahoma State,VonEgidy,West Virginia,1.75,119,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2503,174,3/3/2018,Bastian,Utah Valley,Mejias,Oklahoma,0.9,420,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2504,174,3/3/2018,Mejias,Oklahoma,Bastian,Utah Valley,1.1,420,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
2505,174,3/3/2018,Smith,Oklahoma State,Mejias,Oklahoma,1.1,420,4,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,0,0,0,0,2,0,0
2506,174,3/3/2018,Mejias,Oklahoma,Smith,Oklahoma State,0.9,420,2,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3,1,0,0,0,0,1
